[17:37:20.7220968][INFO/main.cpp:153] Settings Loaded and logger initialized.
[17:37:20.7224839][INFO/main.cpp:155] Yim's Menu Initializing
[17:37:20.7224880][INFO/main.cpp:156] Git Info
	Branch:	master
	Hash:	c349c9fba23603961d8691b763b519df130bab9d
	Date:	Sat Dec 14 04:33:33 2024
[17:37:20.7227535][INFO/main.cpp:168] Windows 10 Pro Version 22H2 (OS Build 19045.3803)
[17:37:20.7245887][DEBUG/thread_pool.cpp:22] Resizing thread pool from 0 to 4
[17:37:20.7246752][INFO/main.cpp:176] Thread pool initialized.
[17:37:20.7272081][INFO/batch.hpp:106] Found 'SR' GTA5.exe+0x16E9B7
[17:37:20.7287061][INFO/batch.hpp:106] Found 'GL' GTA5.exe+0x6E3BDC
[17:37:20.7304476][INFO/batch.hpp:106] Found 'GS' GTA5.exe+0x2C8DA0
[17:37:20.7304928][INFO/batch.hpp:106] Found 'ISA' GTA5.exe+0xFA53
[17:37:20.7319705][INFO/batch.hpp:106] Found 'SGL' GTA5.exe+0x6E3BD0
[17:37:20.7336839][INFO/batch.hpp:106] Found 'PF' GTA5.exe+0x73FAA8
[17:37:20.7386984][INFO/batch.hpp:106] Found 'FV' GTA5.exe+0x165405C
[17:37:20.7437166][INFO/batch.hpp:106] Found 'NPM' GTA5.exe+0x10D61A8
[17:37:20.7477608][INFO/batch.hpp:106] Found 'NH' GTA5.exe+0x1657275
[17:37:20.7481069][INFO/batch.hpp:106] Found 'SP' GTA5.exe+0xA577E1
[17:37:20.7485141][INFO/batch.hpp:106] Found 'NRF' GTA5.exe+0x3D655
[17:37:20.7540200][INFO/batch.hpp:106] Found 'S' GTA5.exe+0x13BE199
[17:37:20.7551542][INFO/batch.hpp:106] Found 'GTS' GTA5.exe+0x1656CE4
[17:37:20.7572868][INFO/batch.hpp:106] Found 'SG' GTA5.exe+0x1656B1C
[17:37:20.7574712][INFO/batch.hpp:106] Found 'OQ' GTA5.exe+0x5746A6
[17:37:20.7581540][INFO/batch.hpp:106] Found 'CGSHM' GTA5.exe+0x165BC4D
[17:37:20.7583284][INFO/batch.hpp:106] Found 'TSE' GTA5.exe+0xDB2B08
[17:37:20.7608110][INFO/batch.hpp:106] Found 'ST' GTA5.exe+0x16571CB
[17:37:20.7633499][INFO/batch.hpp:106] Found 'RBWD' GTA5.exe+0x11801F1
[17:37:20.7639820][INFO/batch.hpp:106] Found 'TK' GTA5.exe+0xA5B898
[17:37:20.7649363][INFO/batch.hpp:106] Found 'RBB' GTA5.exe+0x67ACC8
[17:37:20.7651353][INFO/batch.hpp:106] Found 'WBD' GTA5.exe+0x67B5F8
[17:37:20.7665496][INFO/batch.hpp:106] Found 'RBA' GTA5.exe+0x135DF5C
[17:37:20.7683068][INFO/batch.hpp:106] Found 'WBQ' GTA5.exe+0x1365D08
[17:37:20.7747017][INFO/batch.hpp:106] Found 'RBS' GTA5.exe+0x135E35C
[17:37:20.7809505][INFO/batch.hpp:106] Found 'WBI64' GTA5.exe+0x1160EA1
[17:37:20.7865223][INFO/batch.hpp:106] Found 'WBI32' GTA5.exe+0x115FCE7
[17:37:20.7875711][INFO/batch.hpp:106] Found 'WBB' GTA5.exe+0x115F7E8
[17:37:20.7876981][INFO/batch.hpp:106] Found 'SEA' GTA5.exe+0x1716A39
[17:37:20.7898380][INFO/batch.hpp:106] Found 'RC' GTA5.exe+0x1498A38
[17:37:20.7940634][INFO/batch.hpp:106] Found 'GSH' GTA5.exe+0x165CBB0
